,col_name,fs_score,map,avg_fs_score
66,qss_nss,1.94816428,qss,1.940918563
67,qss_auc,2.069282558,qss,1.940918563
68,qss_ig,1.968534971,qss,1.940918563
69,qss_cc,2.299367626,qss,1.940918563
70,qss_sauc,2.042679794,qss,1.940918563
71,qss_sim,1.317482152,qss,1.940918563
0,icf_nss,2.175220405,icf,1.740840614
1,icf_auc,1.757481219,icf,1.740840614
2,icf_ig,1.388101338,icf,1.740840614
3,icf_cc,2.590741508,icf,1.740840614
4,icf_sauc,1.62985865,icf,1.740840614
5,icf_sim,0.903640561,icf,1.740840614
48,gbvs_nss,1.032482039,gbvs,1.258330091
49,gbvs_auc,1.784015438,gbvs,1.258330091
50,gbvs_ig,0.698669096,gbvs,1.258330091
51,gbvs_cc,1.192105771,gbvs,1.258330091
52,gbvs_sauc,1.500935769,gbvs,1.258330091
53,gbvs_sim,1.341772435,gbvs,1.258330091
30,cvs_nss,1.473181783,cvs,1.208638071
31,cvs_auc,0.881692985,cvs,1.208638071
32,cvs_ig,1.128079639,cvs,1.208638071
33,cvs_cc,1.36358432,cvs,1.208638071
34,cvs_sauc,1.143360476,cvs,1.208638071
35,cvs_sim,1.261929222,cvs,1.208638071
36,dva_nss,1.163460651,dva,1.088685953
37,dva_auc,0.551679255,dva,1.088685953
38,dva_ig,0.968949791,dva,1.088685953
39,dva_cc,1.325228111,dva,1.088685953
40,dva_sauc,1.619189939,dva,1.088685953
41,dva_sim,0.903607969,dva,1.088685953
54,imsig_nss,0.544930828,imsig,0.84791591
55,imsig_auc,1.438282671,imsig,0.84791591
56,imsig_ig,0.556476554,imsig,0.84791591
57,imsig_cc,0.587819638,imsig,0.84791591
58,imsig_sauc,1.341429688,imsig,0.84791591
59,imsig_sim,0.618556082,imsig,0.84791591
72,rare_nss,0.952167443,rare,0.778455847
73,rare_auc,0.705118551,rare,0.778455847
74,rare_ig,0.916932794,rare,0.778455847
75,rare_cc,0.977408824,rare,0.778455847
76,rare_sauc,0.890585157,rare,0.778455847
77,rare_sim,0.228522312,rare,0.778455847
78,aim_nss,0.736284926,aim,0.689077644
79,aim_auc,0.216553506,aim,0.689077644
80,aim_ig,1.224943414,aim,0.689077644
81,aim_cc,0.735337276,aim,0.689077644
82,aim_sauc,0.489786538,aim,0.689077644
83,aim_sim,0.731560203,aim,0.689077644
60,lds_nss,0.234208773,lds,0.62284366
61,lds_auc,0.742363407,lds,0.62284366
62,lds_ig,0.683817616,lds,0.62284366
63,lds_cc,0.17925953,lds,0.62284366
64,lds_sauc,1.466638515,lds,0.62284366
65,lds_sim,0.430774118,lds,0.62284366
24,cas_nss,0.220399013,cas,0.51054804
25,cas_auc,0.824341384,cas,0.51054804
26,cas_ig,0.567949483,cas,0.51054804
27,cas_cc,0.183876936,cas,0.51054804
28,cas_sauc,0.743796785,cas,0.51054804
29,cas_sim,0.522924643,cas,0.51054804
6,dgiie_nss,0.133107882,dgiie,0.414036475
7,dgiie_auc,0.296441523,dgiie,0.414036475
8,dgiie_ig,1.071408247,dgiie,0.414036475
9,dgiie_cc,0.154719771,dgiie,0.414036475
10,dgiie_sauc,0.217124964,dgiie,0.414036475
11,dgiie_sim,0.611416462,dgiie,0.414036475
12,dgii_nss,0.133107882,dgii,0.414036475
13,dgii_auc,0.296441523,dgii,0.414036475
14,dgii_ig,1.071408247,dgii,0.414036475
15,dgii_cc,0.154719771,dgii,0.414036475
16,dgii_sauc,0.217124964,dgii,0.414036475
17,dgii_sim,0.611416462,dgii,0.414036475
18,dgi_nss,0.133107882,dgi,0.414036475
19,dgi_auc,0.296441523,dgi,0.414036475
20,dgi_ig,1.071408247,dgi,0.414036475
21,dgi_cc,0.154719771,dgi,0.414036475
22,dgi_sauc,0.217124964,dgi,0.414036475
23,dgi_sim,0.611416462,dgi,0.414036475
42,fes_nss,0.094935621,fes,0.253593329
43,fes_auc,0.680524855,fes,0.253593329
44,fes_ig,0.075347175,fes,0.253593329
45,fes_cc,0.049973784,fes,0.253593329
46,fes_sauc,0.5289052,fes,0.253593329
47,fes_sim,0.091873341,fes,0.253593329
