,col_name,fs_score,map,avg_fs_score
0,icf_nss,0.008718458,icf,0.130420291
1,icf_auc,0.00591668,icf,0.130420291
2,icf_ig,0.577219099,icf,0.130420291
3,icf_cc,0.004127381,icf,0.130420291
4,icf_sauc,0.032692794,icf,0.130420291
5,icf_sim,0.153847332,icf,0.130420291
6,dgiie_nss,2.274791526,dgiie,1.334066121
7,dgiie_auc,0.429312811,dgiie,1.334066121
8,dgiie_ig,2.699524641,dgiie,1.334066121
9,dgiie_cc,1.9428167,dgiie,1.334066121
10,dgiie_sauc,0.553088959,dgiie,1.334066121
11,dgiie_sim,0.104862086,dgiie,1.334066121
12,dgii_nss,2.274791526,dgii,1.334066121
13,dgii_auc,0.429312811,dgii,1.334066121
14,dgii_ig,2.699524641,dgii,1.334066121
15,dgii_cc,1.9428167,dgii,1.334066121
16,dgii_sauc,0.553088959,dgii,1.334066121
17,dgii_sim,0.104862086,dgii,1.334066121
18,dgi_nss,2.274791526,dgi,1.334066121
19,dgi_auc,0.429312811,dgi,1.334066121
20,dgi_ig,2.699524641,dgi,1.334066121
21,dgi_cc,1.9428167,dgi,1.334066121
22,dgi_sauc,0.553088959,dgi,1.334066121
23,dgi_sim,0.104862086,dgi,1.334066121
24,cas_nss,0.062374477,cas,0.305212738
25,cas_auc,0.354297818,cas,0.305212738
26,cas_ig,0.758467371,cas,0.305212738
27,cas_cc,0.063598054,cas,0.305212738
28,cas_sauc,0.414140527,cas,0.305212738
29,cas_sim,0.178398182,cas,0.305212738
30,cvs_nss,1.68223836,cvs,1.50192119
31,cvs_auc,2.433254381,cvs,1.50192119
32,cvs_ig,0.288006965,cvs,1.50192119
33,cvs_cc,1.487125809,cvs,1.50192119
34,cvs_sauc,1.848490822,cvs,1.50192119
35,cvs_sim,1.272410801,cvs,1.50192119
36,dva_nss,6.387252818,dva,3.852434648
37,dva_auc,1.042739798,dva,3.852434648
38,dva_ig,0.877217411,dva,3.852434648
39,dva_cc,6.715284354,dva,3.852434648
40,dva_sauc,2.385377928,dva,3.852434648
41,dva_sim,5.706735578,dva,3.852434648
42,fes_nss,6.521823526,fes,4.06345814
43,fes_auc,2.107592715,fes,4.06345814
44,fes_ig,1.10537244,fes,4.06345814
45,fes_cc,6.633876585,fes,4.06345814
46,fes_sauc,2.264352472,fes,4.06345814
47,fes_sim,5.747731105,fes,4.06345814
48,gbvs_nss,1.883417912,gbvs,1.226400509
49,gbvs_auc,0.954839001,gbvs,1.226400509
50,gbvs_ig,0.052403239,gbvs,1.226400509
51,gbvs_cc,1.897831248,gbvs,1.226400509
52,gbvs_sauc,1.174582406,gbvs,1.226400509
53,gbvs_sim,1.395329248,gbvs,1.226400509
54,imsig_nss,3.426419305,imsig,2.028268129
55,imsig_auc,1.432933369,imsig,2.028268129
56,imsig_ig,0.001186323,imsig,2.028268129
57,imsig_cc,3.76335042,imsig,2.028268129
58,imsig_sauc,1.626405036,imsig,2.028268129
59,imsig_sim,1.91931432,imsig,2.028268129
60,lds_nss,1.73173961,lds,1.015539352
61,lds_auc,0.716393513,lds,1.015539352
62,lds_ig,0.07597243,lds,1.015539352
63,lds_cc,1.753204698,lds,1.015539352
64,lds_sauc,0.171696142,lds,1.015539352
65,lds_sim,1.644229718,lds,1.015539352
66,qss_nss,4.139094821,qss,2.366324754
67,qss_auc,1.202447165,qss,2.366324754
68,qss_ig,0.005533762,qss,2.366324754
69,qss_cc,4.37519742,qss,2.366324754
70,qss_sauc,1.65884636,qss,2.366324754
71,qss_sim,2.816828995,qss,2.366324754
72,rare_nss,6.011495518,rare,3.386606797
73,rare_auc,1.683952485,rare,3.386606797
74,rare_ig,0.473176591,rare,3.386606797
75,rare_cc,5.580043021,rare,3.386606797
76,rare_sauc,2.431722363,rare,3.386606797
77,rare_sim,4.139250804,rare,3.386606797
78,aim_nss,0.164241904,aim,0.181372444
79,aim_auc,0.003335405,aim,0.181372444
80,aim_ig,0.165177558,aim,0.181372444
81,aim_cc,0.278620397,aim,0.181372444
82,aim_sauc,0.049657817,aim,0.181372444
83,aim_sim,0.427201586,aim,0.181372444
