,Unnamed: 0_x,label,onset,duration,amp,avg_vel,med_vel,peak_vel,start_x,start_y,end_x,end_y,ind_id_fn,ID,Gender,DoB,ROI1,ROI2,ROI3,Version,Valid,Valid Freeviewing
25831,0,FIXA,0.25,0.551,313.573,40826.862,44764.193,75292.545,598.6,151.2,288.8,199.7,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25832,1,SACC,0.8009998798370361,0.8,1295.054,132173.379,126364.076,264489.014,288.8,199.7,1437.0,798.7,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25833,2,FIXA,1.6010000705718994,0.234,185.899,53657.666,54551.878,60829.6,1437.0,798.7,1292.7,915.9,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25834,3,SACC,1.8350000381469729,0.284,832.092,184255.205,186374.358,287216.559,1292.7,915.9,461.1,944.5,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25835,4,FIXA,2.11899995803833,0.167,106.225,41148.425,37710.971,61554.509,461.1,944.5,354.9,946.8,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25836,5,SACC,2.2860000133514404,0.266,634.709,144302.393,137245.503,226178.212,354.9,946.8,101.2,365.0,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25837,6,FIXA,2.552000045776367,0.584,165.815,35023.601,33187.811,59383.476,101.2,365.0,248.0,442.1,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25838,7,SACC,3.135999917984009,0.251,474.714,115709.397,109490.126,168421.087,248.0,442.1,722.7,438.5,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25839,8,FIXA,3.38700008392334,0.083,74.816,55342.776,54859.34,63073.544,722.7,438.5,790.7,469.7,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25840,9,SACC,3.470000028610229,0.334,851.544,153770.99,142106.412,276599.814,790.7,469.7,1642.0,490.1,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25841,10,FIXA,3.803999900817871,1.084,140.105,22460.401,19129.026,60508.577,1642.0,490.1,1504.6,517.5,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25842,11,SACC,4.888000011444092,0.184,271.282,90401.369,93520.475,104426.791,1504.6,517.5,1272.9,376.4,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25843,12,FIXA,5.072000026702881,3.32,425.548,9576.191,2191.454,60299.396,1272.9,376.4,920.4,138.0,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25844,13,SACC,8.391999959945679,0.283,434.796,95734.836,99288.966,117143.835,920.4,138.0,1344.1,235.6,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25845,14,FIXA,8.674999952316284,0.985,101.647,20128.442,18956.765,60186.962,1344.1,235.6,1445.0,223.3,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25846,15,SACC,9.660000085830688,0.216,290.358,80136.07,84499.231,105252.276,1445.0,223.3,1200.3,67.0,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25847,16,FIXA,9.875999927520752,0.117,56.824,31334.096,29445.624,46034.923,1200.3,67.0,1148.7,43.2,20210710121436356,202107101214363,MALE,1974,Turtle,Mermaid,Pierce,2,True,True
25969,0,FIXA,0.0169999599456787,0.483,191.386,26391.341,25726.664,44770.565,918.2,483.3,891.4,672.8,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25970,1,SACC,0.5,0.201,318.378,95981.494,93399.716,122303.7,891.4,672.8,1193.3,773.9,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25971,2,FIXA,0.7009999752044678,0.25,42.076,39123.386,39508.217,62166.727,1193.3,773.9,1223.4,744.5,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25972,3,SACC,0.9509999752044678,0.233,489.179,125763.644,122968.822,173401.024,1223.4,744.5,1013.8,302.5,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25973,4,FIXA,1.184000015258789,0.318,146.909,33401.791,30750.838,63104.238,1013.8,302.5,956.8,167.1,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25974,5,SACC,1.501999855041504,0.233,360.54,94126.214,92590.551,117667.262,956.8,167.1,1309.0,244.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25975,6,FIXA,1.7349998950958252,0.952,417.03,28179.181,32000.184,63130.266,1309.0,244.2,1725.9,233.8,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25976,7,SACC,2.687000036239624,0.149,204.043,82690.942,84044.183,95278.818,1725.9,233.8,1746.5,436.8,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25977,8,FIXA,2.8359999656677246,0.934,245.428,25392.037,22554.428,58421.058,1746.5,436.8,1537.4,565.3,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25978,9,SACC,3.7699999809265137,0.2,296.64,90054.998,93668.83,110859.721,1537.4,565.3,1271.5,433.8,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25979,10,FIXA,3.9700000286102295,1.185,376.917,27966.516,27116.299,60071.253,1271.5,433.8,903.5,352.3,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25980,11,SACC,5.1549999713897705,0.2,339.703,102437.009,99774.229,133276.36,903.5,352.3,578.3,450.5,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25981,12,FIXA,5.355000019073486,0.517,329.897,39277.338,39048.372,57081.88,578.3,450.5,257.3,526.6,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25982,13,SACC,5.871999979019165,0.184,297.479,97826.057,97628.956,121900.723,257.3,526.6,156.0,806.3,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25983,14,FIXA,6.055999994277954,0.651,235.092,29312.712,30417.741,60154.42,156.0,806.3,282.9,1004.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25984,15,SACC,6.707000017166138,0.267,627.412,141491.892,134035.962,227275.427,282.9,1004.2,386.5,385.4,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25985,16,FIXA,6.973999977111816,1.701,65.433,25086.085,21924.759,61819.753,386.5,385.4,408.0,447.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25986,17,SACC,8.674999952316284,0.168,239.809,87011.388,84988.738,117170.383,408.0,447.2,624.8,344.7,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25987,18,FIXA,8.842999935150146,1.151,371.515,25127.836,24247.696,60860.664,624.8,344.7,948.4,162.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25989,0,FIXA,0.0169999599456787,1.401,293.96,30572.278,24143.929,94892.319,937.7,571.6,848.5,851.7,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25990,1,SACC,1.4179999828338623,0.134,321.32,143607.517,144910.484,179595.879,848.5,851.7,1169.6,863.6,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
